"CUS_ID","d_v_ 1","d_v_ 2","d_v_ 3","d_v_ 4","d_v_ 5","d_v_ 6","d_v_ 7","d_v_ 8","d_v_ 9","d_v_ 10","d_v_ 11","d_v_ 12","d_v_ 13","d_v_ 14","d_v_ 15","d_v_ 16","d_v_ 17","d_v_ 18","d_v_ 19","d_v_ 20","d_v_ 21","d_v_ 22","n_v_ 1","n_v_ 2","n_v_ 3","n_v_ 4","n_v_ 5","n_v_ 6","n_v_ 7","n_v_ 8","n_v_ 9","n_v_ 10","n_v_ 11","n_v_ 12","n_v_ 13","n_v_ 14","n_v_ 15","n_v_ 16","n_v_ 17","n_v_ 18","n_v_ 19","n_v_ 20","n_v_ 21","n_v_ 22","p_v_ 1","p_v_ 2","p_v_ 3","p_v_ 4","p_v_ 5","p_v_ 6","p_v_ 7","p_v_ 8","p_v_ 9","p_v_ 10","p_v_ 11","p_v_ 12","p_v_ 13","p_v_ 14","p_v_ 15","p_v_ 16","p_v_ 17","p_v_ 18","p_v_ 19","p_v_ 20","p_v_ 21","p_v_ 22"
11,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,19,NA,78,86,NA,67,NA,1,39,450,4,15,26,1,2,601,33,20,3,100,NA,NA,1.23,NA,5.049,5.566,NA,4.337,NA,0.065,2.524,29.126,0.259,0.971,1.683,0.065,0.129,38.9,2.136,1.294,0.194,6.472,NA
12,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,NA,54,NA,27,21,NA,1,NA,1,3,1,NA,14,1,32,NA,336,7,1,NA,192,NA,NA,7.815,NA,3.907,3.039,NA,0.145,NA,0.145,0.434,0.145,NA,2.026,0.145,4.631,NA,48.625,1.013,0.145,NA,27.786,NA
13,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,NA,NA,NA,421,970,NA,NA,NA,NA,NA,9,85,13,3,3,NA,1242,1,86,2,281,NA,NA,NA,NA,13.511,31.13,NA,NA,NA,NA,NA,0.289,2.728,0.417,0.096,0.096,NA,39.859,0.032,2.76,0.064,9.018,NA
14,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,NA,14,25,17,1,73,NA,3,25,1215,8,54,5,13,48,2076,66,12,1,205,NA,0.026,NA,0.363,0.647,0.44,0.026,1.89,NA,0.078,0.647,31.46,0.207,1.398,0.129,0.337,1.243,53.755,1.709,0.311,0.026,5.308,NA
15,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,NA,NA,2,101,102,1,52,NA,9,8,2116,NA,21,8,1,120,3361,38,14,4,374,NA,NA,NA,0.032,1.595,1.611,0.016,0.821,NA,0.142,0.126,33.418,NA,0.332,0.126,0.016,1.895,53.08,0.6,0.221,0.063,5.907,NA
16,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,10,9,60,NA,NA,NA,NA,5,39,1,12,4,24,1,861,1,86,1,134,NA,0.08,0.08,0.8,0.72,4.8,NA,NA,NA,NA,0.4,3.12,0.08,0.96,0.32,1.92,0.08,68.88,0.08,6.88,0.08,10.72,NA
17,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,2,NA,1,137,66,NA,30,NA,6,34,172,1,17,NA,NA,10,714,8,17,3,109,NA,0.151,NA,0.075,10.324,4.974,NA,2.261,NA,0.452,2.562,12.962,0.075,1.281,NA,NA,0.754,53.806,0.603,1.281,0.226,8.214,NA
18,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,NA,7,298,277,NA,23,7,3,2,436,NA,147,7,65,2,1084,8,12,6,86,2,NA,NA,0.283,12.055,11.206,NA,0.93,0.283,0.121,0.081,17.638,NA,5.947,0.283,2.629,0.081,43.851,0.324,0.485,0.243,3.479,0.081
19,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,19,6,NA,290,328,NA,31,6,20,10,282,3,31,1,6,6,812,5,29,59,125,NA,0.918,0.29,NA,14.016,15.853,NA,1.498,0.29,0.967,0.483,13.63,0.145,1.498,0.048,0.29,0.29,39.246,0.242,1.402,2.852,6.042,NA
20,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,4,135,69,18,11,1,4,14,224,4,16,49,2,5,611,21,40,2,71,1,NA,NA,0.307,10.369,5.3,1.382,0.845,0.077,0.307,1.075,17.204,0.307,1.229,3.763,0.154,0.384,46.928,1.613,3.072,0.154,5.453,0.077
21,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,NA,NA,NA,23,10,NA,3,NA,1,NA,32,NA,2,1,1,NA,575,15,35,1,22,NA,NA,NA,NA,3.19,1.387,NA,0.416,NA,0.139,NA,4.438,NA,0.277,0.139,0.139,NA,79.75,2.08,4.854,0.139,3.051,NA
22,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,NA,2,28,150,2,22,NA,2,67,346,NA,16,9,4,6,1849,68,5,2,126,NA,0.037,NA,0.074,1.035,5.545,0.074,0.813,NA,0.074,2.477,12.791,NA,0.591,0.333,0.148,0.222,68.355,2.514,0.185,0.074,4.658,NA
23,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,NA,NA,26,86,451,1,73,NA,8,5,1655,NA,69,3,829,2,1989,9,10,11,202,NA,NA,NA,0.479,1.584,8.307,0.018,1.345,NA,0.147,0.092,30.484,NA,1.271,0.055,15.27,0.037,36.637,0.166,0.184,0.203,3.721,NA
24,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,20,121,1,327,1753,NA,3,1,2,NA,163,NA,11,1,4,1,1296,3,13,3,77,NA,0.526,3.184,0.026,8.605,46.132,NA,0.079,0.026,0.053,NA,4.289,NA,0.289,0.026,0.105,0.026,34.105,0.079,0.342,0.079,2.026,NA
25,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,4,1,1056,984,NA,18,5,6,62,1679,28,44,7,8,87,3928,6,31,83,359,NA,NA,0.048,0.012,12.577,11.72,NA,0.214,0.06,0.071,0.738,19.998,0.333,0.524,0.083,0.095,1.036,46.784,0.071,0.369,0.989,4.276,NA
26,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,50,NA,162,470,NA,19,NA,7,26,209,14,349,NA,17,5,1422,13,20,8,906,NA,0.081,1.351,NA,4.378,12.703,NA,0.514,NA,0.189,0.703,5.649,0.378,9.432,NA,0.459,0.135,38.432,0.351,0.541,0.216,24.486,NA
27,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2,NA,3,114,447,1,21,11,5,10,1187,NA,22,29,5,6,3034,48,22,7,363,NA,0.037,NA,0.056,2.136,8.375,0.019,0.393,0.206,0.094,0.187,22.241,NA,0.412,0.543,0.094,0.112,56.848,0.899,0.412,0.131,6.802,NA
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,111,867,3,39,16,55,12,382,134,177,55,23,5,2201,8,52,5,870,1,0.02,0.139,0.06,2.208,17.247,0.06,0.776,0.318,1.094,0.239,7.599,2.666,3.521,1.094,0.458,0.099,43.784,0.159,1.034,0.099,17.307,0.02
29,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,17,1,NA,199,88,2,4,NA,1,6,148,NA,53,5,NA,5,334,15,16,2,102,NA,1.703,0.1,NA,19.94,8.818,0.2,0.401,NA,0.1,0.601,14.83,NA,5.311,0.501,NA,0.501,33.467,1.503,1.603,0.2,10.22,NA
30,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,5,NA,3,8,1031,NA,7,1,2,4,184,9,61,NA,37,11,1947,2,3,6,1048,NA,0.114,NA,0.069,0.183,23.598,NA,0.16,0.023,0.046,0.092,4.211,0.206,1.396,NA,0.847,0.252,44.564,0.046,0.069,0.137,23.987,NA
31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,69,203,52,496,9,4,3,32,7,408,6,487,9,52,2,2230,3,13,8,655,NA,0.126,1.451,4.27,1.094,10.433,0.189,0.084,0.063,0.673,0.147,8.582,0.126,10.244,0.189,1.094,0.042,46.908,0.063,0.273,0.168,13.778,NA
32,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,NA,8,260,477,3,24,5,6,20,1022,2,40,72,11,21,3270,4,36,18,312,NA,0.178,NA,0.142,4.626,8.486,0.053,0.427,0.089,0.107,0.356,18.182,0.036,0.712,1.281,0.196,0.374,58.175,0.071,0.64,0.32,5.551,NA
33,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,98,2,52,917,1,54,NA,6,12,247,3,112,2,7,13,2104,13,10,5,265,NA,0.051,2.497,0.051,1.325,23.363,0.025,1.376,NA,0.153,0.306,6.293,0.076,2.854,0.051,0.178,0.331,53.605,0.331,0.255,0.127,6.752,NA
34,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,13,1,3,67,1950,NA,49,8,13,12,121,1,40,21,64,NA,2296,4,30,13,294,1,0.26,0.02,0.06,1.34,38.992,NA,0.98,0.16,0.26,0.24,2.42,0.02,0.8,0.42,1.28,NA,45.911,0.08,0.6,0.26,5.879,0.02
35,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,5,NA,NA,53,983,NA,12,NA,3,1,23,NA,14,NA,33,NA,947,3,17,2,65,NA,0.231,NA,NA,2.453,45.488,NA,0.555,NA,0.139,0.046,1.064,NA,0.648,NA,1.527,NA,43.822,0.139,0.787,0.093,3.008,NA
36,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,NA,1,NA,NA,34,NA,1,NA,3,2,532,NA,80,NA,NA,3,677,4,NA,NA,68,NA,NA,0.071,NA,NA,2.42,NA,0.071,NA,0.214,0.142,37.865,NA,5.694,NA,NA,0.214,48.185,0.285,NA,NA,4.84,NA
37,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,6,NA,NA,119,224,NA,23,6,8,28,340,NA,49,NA,8,19,889,34,45,9,105,NA,0.314,NA,NA,6.224,11.715,NA,1.203,0.314,0.418,1.464,17.782,NA,2.563,NA,0.418,0.994,46.496,1.778,2.354,0.471,5.492,NA
38,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,374,2,42,625,1,14,NA,28,39,297,7,196,15,13,1,2047,41,1,9,374,NA,0.024,9.062,0.048,1.018,15.144,0.024,0.339,NA,0.678,0.945,7.197,0.17,4.749,0.363,0.315,0.024,49.6,0.993,0.024,0.218,9.062,NA
39,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,NA,4,132,56,10,45,7,21,31,1205,1,55,17,11,23,2332,11,72,10,344,NA,0.023,NA,0.091,3.008,1.276,0.228,1.026,0.16,0.479,0.706,27.461,0.023,1.253,0.387,0.251,0.524,53.145,0.251,1.641,0.228,7.84,NA
40,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,NA,1,NA,8,80,NA,1,9,1,1,71,NA,11,6,163,2,241,7,NA,3,43,NA,NA,0.154,NA,1.235,12.346,NA,0.154,1.389,0.154,0.154,10.957,NA,1.698,0.926,25.154,0.309,37.191,1.08,NA,0.463,6.636,NA
41,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,NA,512,NA,3,115,NA,5,1,9,4,45,1,85,3,3,NA,687,14,7,1,110,NA,NA,31.9,NA,0.187,7.165,NA,0.312,0.062,0.561,0.249,2.804,0.062,5.296,0.187,0.187,NA,42.804,0.872,0.436,0.062,6.854,NA
42,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,11,NA,227,352,3,27,159,19,74,2173,14,130,81,45,32,3105,21,23,30,593,1,0.028,0.154,NA,3.187,4.942,0.042,0.379,2.233,0.267,1.039,30.511,0.197,1.825,1.137,0.632,0.449,43.597,0.295,0.323,0.421,8.326,0.014
43,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,7,133,1,55,398,NA,8,1,14,1,112,NA,16,2,20,NA,846,2,13,15,138,NA,0.393,7.464,0.056,3.086,22.334,NA,0.449,0.056,0.786,0.056,6.285,NA,0.898,0.112,1.122,NA,47.475,0.112,0.73,0.842,7.744,NA
44,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,14,89,258,19,14,3,8,13,548,1,569,4,5,15,2596,33,5,7,3659,NA,NA,NA,0.178,1.132,3.282,0.242,0.178,0.038,0.102,0.165,6.972,0.013,7.239,0.051,0.064,0.191,33.028,0.42,0.064,0.089,46.552,NA
45,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,3,NA,26,69,93,NA,17,4,1,NA,39,1,10,1,12,NA,938,8,35,NA,174,NA,0.21,NA,1.817,4.822,6.499,NA,1.188,0.28,0.07,NA,2.725,0.07,0.699,0.07,0.839,NA,65.549,0.559,2.446,NA,12.159,NA
46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,8592,NA,NA,NA,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.313,NA,NA,NA,99.675,NA
47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5,23,9,27,2641,2,59,2,17,23,1005,1,86,19,18,17,2447,17,18,7,624,NA,0.071,0.325,0.127,0.382,37.371,0.028,0.835,0.028,0.241,0.325,14.221,0.014,1.217,0.269,0.255,0.241,34.626,0.241,0.255,0.099,8.83,NA
48,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,23,281,10,27,941,NA,105,2,23,89,833,1,90,4,14,30,3895,25,23,15,600,NA,0.327,3.997,0.142,0.384,13.384,NA,1.493,0.028,0.327,1.266,11.848,0.014,1.28,0.057,0.199,0.427,55.398,0.356,0.327,0.213,8.534,NA
49,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6,5,53,1343,NA,96,1,35,32,540,2,204,5,12,2,3079,18,20,16,764,2,0.064,0.096,0.08,0.849,21.526,NA,1.539,0.016,0.561,0.513,8.655,0.032,3.27,0.08,0.192,0.032,49.351,0.289,0.321,0.256,12.246,0.032
50,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,2,2,2,87,253,1,26,1,14,13,662,NA,13,NA,1,32,1181,52,20,30,54,NA,0.082,0.082,0.082,3.557,10.343,0.041,1.063,0.041,0.572,0.531,27.065,NA,0.531,NA,0.041,1.308,48.283,2.126,0.818,1.226,2.208,NA
51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,31,3,13,58,380,1,20,2,20,75,1438,2,79,24,6,25,2194,6,16,15,515,NA,0.63,0.061,0.264,1.178,7.719,0.02,0.406,0.041,0.406,1.523,29.21,0.041,1.605,0.488,0.122,0.508,44.566,0.122,0.325,0.305,10.461,NA
52,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2,45,6,55,84,1,15,2,4,10,159,NA,174,1,5,3,878,39,19,4,256,NA,0.114,2.554,0.341,3.121,4.767,0.057,0.851,0.114,0.227,0.568,9.024,NA,9.875,0.057,0.284,0.17,49.83,2.213,1.078,0.227,14.529,NA
53,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,4,4,1,13,22,NA,1,NA,4,2,751,NA,9,1,8,3,1312,7,4,NA,114,NA,0.177,0.177,0.044,0.575,0.973,NA,0.044,NA,0.177,0.088,33.23,NA,0.398,0.044,0.354,0.133,58.053,0.31,0.177,NA,5.044,NA
54,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,3,3,3,150,247,NA,38,NA,30,9,1266,NA,31,NA,12,7,2502,5,14,6,141,NA,0.067,0.067,0.067,3.358,5.529,NA,0.851,NA,0.672,0.201,28.341,NA,0.694,NA,0.269,0.157,56.011,0.112,0.313,0.134,3.156,NA
55,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,NA,NA,NA,20,488,NA,NA,NA,NA,NA,1,NA,19,1,38,NA,1045,NA,6,NA,12,NA,NA,NA,NA,1.227,29.939,NA,NA,NA,NA,NA,0.061,NA,1.166,0.061,2.331,NA,64.11,NA,0.368,NA,0.736,NA
56,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,NA,NA,4,60,1,4,NA,3,NA,513,1,4,NA,1,NA,1088,213,5,1,155,NA,0.049,NA,NA,0.195,2.921,0.049,0.195,NA,0.146,NA,24.976,0.049,0.195,NA,0.049,NA,52.97,10.37,0.243,0.049,7.546,NA
57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,344,121,173,5,24,8,5,28,497,1,44,16,600,5,3977,5,15,19,620,1,0.031,0.061,5.281,1.858,2.656,0.077,0.368,0.123,0.077,0.43,7.63,0.015,0.675,0.246,9.211,0.077,61.053,0.077,0.23,0.292,9.518,0.015
58,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,3,NA,1,14,276,NA,23,NA,1,4,159,NA,25,2,1,NA,1089,29,94,9,67,NA,0.167,NA,0.056,0.779,15.359,NA,1.28,NA,0.056,0.223,8.848,NA,1.391,0.111,0.056,NA,60.601,1.614,5.231,0.501,3.728,NA
59,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,8,14,104,225,NA,7,2,183,117,423,NA,28,3,19,5,974,5,32,3,239,3,0.083,0.334,0.584,4.341,9.391,NA,0.292,0.083,7.638,4.883,17.654,NA,1.169,0.125,0.793,0.209,40.651,0.209,1.336,0.125,9.975,0.125
60,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,10,2,1,158,1038,NA,NA,6,1,5,31,1,65,5,31,NA,2211,5,45,10,939,NA,0.219,0.044,0.022,3.462,22.743,NA,NA,0.131,0.022,0.11,0.679,0.022,1.424,0.11,0.679,NA,48.444,0.11,0.986,0.219,20.574,NA
61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,39,19,5,28,2627,1,22,4,11,2,85,3,65,7,29,12,3730,3,12,2,843,NA,0.517,0.252,0.066,0.371,34.799,0.013,0.291,0.053,0.146,0.026,1.126,0.04,0.861,0.093,0.384,0.159,49.411,0.04,0.159,0.026,11.167,NA
62,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,NA,NA,NA,13,57,NA,5,2,2,135,1064,NA,5,NA,NA,87,1517,39,5,4,60,NA,NA,NA,NA,0.434,1.903,NA,0.167,0.067,0.067,4.508,35.526,NA,0.167,NA,NA,2.905,50.651,1.302,0.167,0.134,2.003,NA
63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,36,14,83,294,1,12,2,50,27,373,3,214,6,4,9,1392,4,10,8,444,NA,0.033,1.205,0.469,2.779,9.843,0.033,0.402,0.067,1.674,0.904,12.487,0.1,7.164,0.201,0.134,0.301,46.602,0.134,0.335,0.268,14.864,NA
64,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4,21,2,55,868,2,18,4,3,10,1436,NA,60,4,5,71,2729,38,5,5,816,1,0.065,0.341,0.032,0.893,14.098,0.032,0.292,0.065,0.049,0.162,23.323,NA,0.975,0.065,0.081,1.153,44.324,0.617,0.081,0.081,13.253,0.016
65,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,8,105,9,1053,2684,NA,14,3,17,21,264,7,298,10,10,13,3927,12,49,100,2620,NA,0.071,0.935,0.08,9.382,23.913,NA,0.125,0.027,0.151,0.187,2.352,0.062,2.655,0.089,0.089,0.116,34.988,0.107,0.437,0.891,23.343,NA
66,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,208,NA,43,138,NA,1,NA,3,2,307,NA,11,1,NA,9,665,22,NA,3,66,NA,0.068,14.054,NA,2.905,9.324,NA,0.068,NA,0.203,0.135,20.743,NA,0.743,0.068,NA,0.608,44.932,1.486,NA,0.203,4.459,NA
67,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,6,10,1582,NA,15,2,25,1,152,8,121,1,29,NA,2206,2,46,7,203,NA,0.023,0.023,0.136,0.226,35.808,NA,0.34,0.045,0.566,0.023,3.44,0.181,2.739,0.023,0.656,NA,49.932,0.045,1.041,0.158,4.595,NA
68,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,NA,396,NA,18,266,NA,10,1,1,44,56,NA,274,NA,3,2,725,1,129,NA,288,NA,NA,17.886,NA,0.813,12.014,NA,0.452,0.045,0.045,1.987,2.529,NA,12.376,NA,0.136,0.09,32.746,0.045,5.827,NA,13.008,NA
69,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,13,7,14,314,NA,11,2,6,18,1366,1,14,8,11,6,1839,15,12,4,300,NA,0.252,0.327,0.176,0.353,7.907,NA,0.277,0.05,0.151,0.453,34.399,0.025,0.353,0.201,0.277,0.151,46.311,0.378,0.302,0.101,7.555,NA
70,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,4,2,2,29,1051,NA,20,NA,11,36,108,NA,47,1,37,NA,1576,2,13,2,417,NA,0.119,0.06,0.06,0.864,31.298,NA,0.596,NA,0.328,1.072,3.216,NA,1.4,0.03,1.102,NA,46.933,0.06,0.387,0.06,12.418,NA
71,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,6,35,3,78,94,NA,43,5,7,9,262,3,4,NA,2,7,682,9,18,3,85,NA,0.443,2.583,0.221,5.756,6.937,NA,3.173,0.369,0.517,0.664,19.336,0.221,0.295,NA,0.148,0.517,50.332,0.664,1.328,0.221,6.273,NA
72,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,NA,4,2,36,159,1,5,1,1,5,173,162,56,NA,2,NA,720,2,2,8,131,NA,NA,0.272,0.136,2.449,10.816,0.068,0.34,0.068,0.068,0.34,11.769,11.02,3.81,NA,0.136,NA,48.98,0.136,0.136,0.544,8.912,NA
